FacilityName,lat,long,S,State,City,PrimaryRestriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,color_v2,,
Lewis Barchey Unit,47.086585,-122.577598,36,Arizona,Buckeye,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Lewis Buckley Unit,47.086585,-122.577598,37,Arizona,Buckeye,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Lewis Eagle Point Unit,42.459804,-122.803634,38,Arizona,Buckeye,,,,,,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Lewis Morey Unit,47.086585,-122.577598,39,Arizona,Buckeye,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Lewis Rast Unit,47.086585,-122.577598,40,Arizona,Buckeye,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Lewis Stiner Unit,47.086585,-122.577598,41,Arizona,Buckeye,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Lewis Sunrise Unit,46.575099,-122.392404,42,Arizona,Buckeye,,,,,,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Yavapai Co. Det Svc ,34.566581,-112.424784,43,Arizona,Camp Verde,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Douglas Eggers Unit,54.15,-4.48333,44,Arizona,Douglas,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Douglas Gila Unit,54.15,-4.48333,45,Arizona,Douglas,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Douglas Maricopa Unit,54.15,-4.48333,46,Arizona,Douglas,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Douglas Mohave Unit,54.15,-4.48333,47,Arizona,Douglas,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Douglas Papago Unit,54.15,-4.48333,48,Arizona,Douglas,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
CCA/Red Rock Correctional Center ,32.808678,-111.52063,49,Arizona,Eloy,,,,,,,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,"""orange""","""orange"""
CCA/Saguaro Correctional Center ,32.809344,-111.526442,50,Arizona,Eloy,Holds HAWAII inmates,,,,"Waiting to see if we can get on approved sender list, for now DNS",holds hawaii inmates,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
La Palma Correctional Center ,37.566652,-78.474686,51,Arizona,Eloy,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Eyman ,39.54005,-83.445226,52,Arizona,Florence,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Eyman Browning Unit,39.54005,-83.445226,53,Arizona,Florence,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Eyman Cook Unit,39.54005,-83.445226,54,Arizona,Florence,,,,,"Called 1-20-21, publisher only, mike",,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Eyman Meadows Unit,32.208922,-82.375843,55,Arizona,Florence,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence CBK,43.779175,11.249456,56,Arizona,Florence,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Central Unit,43.779175,11.249456,57,Arizona,Florence,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence East Unit,43.779175,11.249456,58,Arizona,Florence,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Kassan,43.779175,11.249456,59,Arizona,Florence,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence North Unit,43.779175,11.249456,60,Arizona,Florence,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence South Unit,34.182369,-79.786461,61,Arizona,Florence,,,,,"Test pkg rtn'd, verifies DNS, 9-30-20-mike",,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence West ,34.19543,-79.76256,62,Arizona,Florence,Private CCA (no lookup),,,,,private cca (no lookup),3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,"""orange""","""orange"""
Central Arizona C.F. ,38.29172,-91.30293,63,Arizona,Florence,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Corizon Health 1305 Butte,36.193879,-119.312867,64,Arizona,Florence,,,,,Send to E.O. Conor,,9999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Federal C.C. ,9.404974,7.607418,65,Arizona,Forrest City,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
